"Date.Time"	"Phase"	"Temp.1"	"Ox.1"	"Temp.2"	"Ox.2"	"Temp.3"	"Ox.3"	"Temp.4"	"Ox.4"
"11/02/2020/09:58:11"	"F"	15.022	9.2457	15.022	9.201	15.022	9.3144	15.022	9.2079
"11/02/2020/09:58:13"	"F"	15.023	9.2525	15.023	9.1932	15.023	9.3127	15.023	9.2029
"11/02/2020/09:58:14"	"F"	15.021	9.2577	15.021	9.1936	15.021	9.3047	15.021	9.2061
"11/02/2020/09:58:15"	"F"	15.021	9.2585	15.021	9.184	15.021	9.3072	15.021	9.2022
"11/02/2020/09:58:15"	"F"	15.016	9.2572	15.016	9.1872	15.016	9.3119	15.016	9.1984
"11/02/2020/09:58:16"	"F"	15.017	9.2567	15.017	9.1842	15.017	9.3154	15.017	9.1947
"11/02/2020/09:58:17"	"F"	15.021	9.2518	15.021	9.1929	15.021	9.3171	15.021	9.2029
"11/02/2020/09:58:18"	"F"	15.026	9.2494	15.026	9.1922	15.026	9.3147	15.026	9.2064
"11/02/2020/09:58:19"	"F"	15.02	9.2511	15.02	9.1942	15.02	9.3167	15.02	9.2042
"11/02/2020/09:58:20"	"F"	15.024	9.2524	15.024	9.1961	15.024	9.3087	15.024	9.1915
"11/02/2020/09:58:21"	"F"	15.027	9.2435	15.027	9.1974	15.027	9.3019	15.027	9.1809
"11/02/2020/09:58:22"	"F"	15.034	9.2402	15.034	9.2011	15.034	9.3002	15.034	9.1823
"11/02/2020/09:58:23"	"F"	15.029	9.2492	15.029	9.198	15.029	9.3042	15.029	9.1873
"11/02/2020/09:58:24"	"F"	15.029	9.256	15.029	9.1961	15.029	9.3033	15.029	9.1902
"11/02/2020/09:58:25"	"F"	15.024	9.2572	15.024	9.2028	15.024	9.3099	15.024	9.2045
"11/02/2020/09:58:26"	"F"	15.026	9.252	15.026	9.203	15.026	9.3084	15.026	9.2112
"11/02/2020/09:58:27"	"F"	15.03	9.2558	15.03	9.2037	15.03	9.3077	15.03	9.2111
"11/02/2020/09:58:28"	"F"	15.037	9.2538	15.037	9.1928	15.037	9.2989	15.037	9.2017
