FishID,Group,Tank,Pop,Sex,BreedingCond,TL,SL,MBD,WetMass,FoilMass,PackageMass,DryMass,Exposed,ExposureDate,DPE,Infected,WormNumber,WormWetMass,WormDryMass,RespDate,Chamber,W_M1,W_M2,W_M3,W_Mavg,W_Mmin,D_M1,D_M2,D_M3,D_Mavg,D_Mmin,Notes
SG1_9,12,SG1,SG,M,N,63,54.26,11.55,1.7478,0.2059,0.7984,0.5925,Y,,,N,0,0,0,11/27/2020,1,183.185,201.103,210.584,198.2906667,183.185,,,,#DIV/0!,0,doubt fish calmed down
GS1_9,12,GS1,GS,M,Y,70.25,60.75,13.22,2.4446,0.1785,0.7244,0.5459,Y,,,N,0,0,0,11/27/2020,2,141.806,141.976,150.253,144.6783333,141.806,,,,#DIV/0!,0,
SG2_9,12,SG2,SG,M,N,62.11,52.67,11.72,1.7364,0.1957,0.8655,0.6698,Y,,,N,0,0,0,11/27/2020,3,195.22,226.888,229.317,217.1416667,195.22,,,,#DIV/0!,0,doubt fish calmed down
GS2_9,12,GS2,GS,F,N,62.64,53.93,12.07,1.8914,0.1856,0.7099,0.5243,Y,,,N,0,0,0,11/27/2020,4,131.861,133.385,142.219,135.8216667,131.861,,,,#DIV/0!,0,
GS1_10,13,GS1,GS,M,N,66.26,57.78,11.84,2.1195,0.2012,0.9765,0.7753,Y,,,N,0,0,0,11/28/2020,1,119.617,154.38,166.115,146.704,119.617,,,,#DIV/0!,0,
SG1_10,13,SG1,SG,M,Y,64.53,57.18,13.08,2.6761,0.1774,1.006,0.8286,Y,,,N,0,0,0,11/28/2020,2,104.423,123.51,131.625,119.8526667,104.423,,,,#DIV/0!,0,
GS2_10,13,GS2,GS,M,Y,64.81,56,12.38,2.3404,0.2226,0.7726,0.55,Y,,,N,0,0,0,11/28/2020,3,119.286,120.979,126.041,122.102,119.286,,,,#DIV/0!,0,
SG2_10,13,SG2,SG,M,N,61.84,52.7,11.65,1.8737,0.2012,0.8972,0.696,Y,,,N,0,0,0,11/28/2020,4,132.044,138.801,141.205,137.35,132.044,,,,#DIV/0!,0,
SG1_11,14,SG1,SG,M,N,63.99,54.93,11.7,1.929,0.2125,0.8067,0.5942,Y,,,Y,2,0.136,0.0291,12/11/2020,1,125.119,134.478,145.525,135.0406667,125.119,,,,#DIV/0!,0,
SG1_12,14,SG1,SG,M,N,61.35,51.85,10.25,1.5188,0.2264,0.7591,0.5327,Y,,,N,0,0,0,12/11/2020,2,158.322,158.52,159.847,158.8963333,158.322,,,,#DIV/0!,0,
