location,sample_num,lake,area,coordinate,date_caught,date_examined,gear,time_collected,surface_temp,num,length,weight,sex,num_schist,wt_schist,num_triaen,loc_triaen,num_acanth,num_nematodes,num_copepods,num_skin_cysts,color,kidney,testes,wt_ovary,num_of_ova,ova_dia,condition,stomach_content,keel,plates,dorsal_rays,anal_rays,remarks,remarks_notes,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,1,70,252,2,0,0,0,NA,0,0,0,0,1,1,NA,20,107,10,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,2,71,296,2,0,0,0,NA,0,0,0,0,1,1,NA,45,84,20,3,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,3,64,228,1,0,0,0,NA,0,0,2,0,1,2,1,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,4,63,210,1,0,0,0,NA,0,0,0,0,3,3,1,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,5,66,244,2,0,0,0,NA,0,0,2,0,1,1,NA,33,81,15,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,6,69,273,1,1,2,0,NA,1,0,1,0,1,3,1,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,7,71,285,2,0,0,0,NA,0,0,4,0,1,1,NA,21,96,10,2,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,8,72,311,1,0,0,0,NA,0,0,3,0,3,3,1,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,9,78,349,2,0,0,0,NA,0,0,1,0,1,1,NA,46,140,17,2,36,NA,NA,NA,NA,5,Stomach also with snails,
"Pike Bay, Aleknagik",001,1,8,0849,6/3/60,6/16/1960,3,12:00,0,10,54,138,2,0,0,0,NA,0,0,0,0,1,1,NA,39,103,20,3,33,NA,NA,NA,NA,NA,NA,
