scenario,1,2,3,4,5,6,7,8,sum
1,0.6778,0,0,0,0,0,0,0,0.6778
2,0.3389,0.3389,0,0,0,0,0,0,0.6778
3,0.225933333,0.225933333,0.225933333,0,0,0,0,0,0.6778
4,0.16945,0.16945,0.16945,0.16945,0,0,0,0,0.6778
5,0.13556,0.13556,0.13556,0.13556,0.13556,0,0,0,0.6778
6,0.112966667,0.112966667,0.112966667,0.112966667,0.112966667,0.112966667,0,0,0.6778
7,0.096828571,0.096828571,0.096828571,0.096828571,0.096828571,0.096828571,0.096828571,0,0.6778
8,0.084725,0.084725,0.084725,0.084725,0.084725,0.084725,0.084725,0.084725,0.6778
