lake,collection_date,location,dissection_date,fish_number,schisto_number,schisto_length,schisto_weight,schisto_height,voucher_top,voucher_id,notes,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,156,107,27,0.0204,3,156,fish156_scisto107,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,159,108,29.5,0.0794,4,159,fish159_scisto108,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,160,109,37,0.0889,4,160,fish160_scisto109,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,160,110,23,0.0107,2,160,fish160_scisto110,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,161,111,52,0.0854,4,161,fish161_scisto111,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,161,112,46,0.0331,4,161,fish161_scisto112,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,113,27,0.0161,4,162,fish162_scisto113,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,114,13,0.0081,3,162,fish162_scisto114,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,115,15,0.013,4,162,fish162_scisto115,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,116,15,0.0119,3,162,fish162_scisto116,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,117,12,0.009,3.5,162,fish162_scisto117,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,118,18,0.0153,3,162,fish162_scisto118,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,119,27,0.016,3,162,fish162_scisto119,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,162,120,18,0.0166,4,162,fish162_scisto120,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,163,121,7,0.0011,1.5,163,fish163_scisto121,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,164,122,27,0.0134,3,164,fish164_scisto122,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,166,123,57,0.041,2,166,fish166_scisto123,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,167,124,31,0.0123,2,167,fish167_scisto124,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,168,125,31,0.384,9,168,fish168_scisto125,,,,,,,,,,,,,,,,,,,,
Illiamna,Summer 2017,Limnetic,14-Feb-20,168,126,43,0.0904,6,168,fish168_scisto126,,,,,,,,,,,,,,,,,,,,
